brand,persona,headline,quote,logp
Google Cloud,Pride,"The greater the demands, the more Google Cloud delivers.","The greater the difficulty, the more glory in surmounting it.",-0.5147126344614187
Google Cloud,Pride,"Where we're going, we don't need servers—Google Cloud leads the way.",The best is yet to come,-0.48545231268200073
Google Cloud,Pride,…,The sky's the limit,-0.505846791511869
Google Cloud,Pride,Limits are nothing. Google Cloud.,Impossible is nothing,-0.584346476339943
Google Cloud,Pride,The Google Cloud is yet to scale.,The best is yet to come.,-0.504597494740436
Google Cloud,Pride,Clouds are forever.,Diamonds are forever.,-0.49835099826524304
Google Cloud,Pride,The cloud is your oyster.,The world is your oyster,-0.48329986590212465
Starbucks Coffee,Joy,Life is a Starbucks moment.,Life is a party,-0.6198917051097712
Starbucks Coffee,Joy,"Happy together, with every cup.",Happy together,-0.5482825645180336
Starbucks Coffee,Joy,What a Starbucks moment!,What a feeling!,-0.5770511392969797
Starbucks Coffee,Joy,"Jump around, jump around, get charged!","Jump around, jump around, get happy!",-0.5886437528672706
Starbucks Coffee,Joy,"Sip, it's Starbucks' brew.","Smile, it’s contagious.",-0.5559691869379365
Starbucks Coffee,Joy,Life is too short for bland coffee. ☕,Happiness is a warm puppy.,-0.6308700707693179
Starbucks Coffee,Joy,"Life is short, drink Starbucks Coffee.","Life is short, drink coffee,",-0.5581311895875704
Starbucks Coffee,Joy,"Step inside, and you'll be in a Starbucks of pure imagination.","Step inside, and you'll be in a world of pure imagination.",-0.5678151977341236
Starbucks Coffee,Joy,Happiness is a Starbucks Brew.,Happiness is a warm cup.,-0.5812435572398008
Starbucks Coffee,Joy,Life is short. Savor Starbucks first.,copy the ★ quote and use | to separate editable and fixed parts.,-0.5062014474962663
Dyson Vacuum,Anticipation,The greatest trick the Dyson ever pulled was proving cleaning could be this good.,The greatest trick the Devil ever pulled was convincing the world he didn't exist.,-0.45177583149868805
Dyson Vacuum,Anticipation,"Something’s cleaning revolution, I can feel it in the vacuum.",spark curiosity,-0.4902333983412751
Dyson Vacuum,Anticipation,"Wait for Dyson, wait for it.","Wait for it, wait for it",-0.5687695822342871
Dyson Vacuum,Anticipation,"Dyson's power is coming, and it's coming soon.","Something's coming, and it's coming soon.",-0.5464168675816771
Dyson Vacuum,Anticipation,The dirt is outsmarted.,The future is unwritten.,-0.5821350210289858
Dyson Vacuum,Anticipation,What lies beneath is never settles | Dyson Vacuum.,What lies beneath is never still.,-0.4774334052734613
Dyson Vacuum,Anticipation,What lies beneath is yours to reveal with Dyson.,What lies beneath | is yours to uncover.,-0.4881074340541345
Dyson Vacuum,Anticipation,The cleaning is already here—it’s just not widely seen.,"The future is coming, and it is yours to claim.",-0.520810540017217
Dyson Vacuum,Anticipation,The Cyclone is yet to arrive.,The best is yet to come,-0.5527235472400847
Peloton Bike,Trust,Safety is the firmest foundation of home workouts.,,-0.3956680995650276
Peloton Bike,Trust,Better Peloton-safe than sorry.,Trust is the glue of life,-0.523315366933726
Peloton Bike,Trust,The foundation of your safety is Peloton.,The foundation of trust is consistency.,-0.5170312446873752
Peloton Bike,Trust,Better secured than unreliable. —Peloton Bike.,Better safe than sorry.,-0.40543662566007055
Peloton Bike,Trust,"Better secure than sorry, Peloton Bike.",Better safe than sorry.,-0.5061439043918683
Peloton Bike,Trust,Safety is the foundation of all Peloton workouts.,Trust is the foundation of all relationships.,-0.5353166494320061
Peloton Bike,Trust,I'm safe and sound with Peloton.,,-0.4800677586342147
Peloton Bike,Trust,Safety is the foundation of life.,Trust is the glue of life.,-0.5792521815268764
Nintendo Switch,Fear,"You snooze, you miss the Switch.","You snooze, you lose.",-0.5095407598967957
Nintendo Switch,Fear,"You snooze, you lose the Switch!","You snooze, you lose.",-0.5553755854217923
Nintendo Switch,Fear,Don’t miss your chance to Switch.,You can't stop now,-0.5255503221726701
Nintendo Switch,Fear,"You snooze, you lose the Switch.","You snooze, you lose",-0.4924885495488019
Nintendo Switch,Fear,"Turn on Nintendo Switch, you know you're ready!","Turn on the switch, you know you're ready.",-0.5180818266344309
Nintendo Switch,Fear,"You snooze, you miss the Switch.","You snooze, you lose.",-0.5473718891984004
Nintendo Switch,Fear,**Fear is the game-killer—Nintendo Switch keeps you in the game.**,Fear is the mind-killer.,-0.5254042745585763
Nintendo Switch,Fear,The Switch is always better on your side.,The grass is always greener on the other side.,-0.5037383568827606
Fitbit Tracker,Pride,Your journey is tracked by Fitbit.,The path is made by walking.,-0.5049687222271211
Fitbit Tracker,Pride,Fitbit won’t let you give up now; you’ve come too far.,I can’t give up now; I’ve come too far,-0.4884635979227675
Fitbit Tracker,Pride,You are the king of your fitness journey – Fitbit Tracker.,I am the king of the world!,-0.5288691953367144
Fitbit Tracker,Pride,"Tracking isn’t everything, but wanting to succeed is.","Winning isn’t everything, but wanting to win is.",-0.484447690710296
Fitbit Tracker,Pride,"The harder I push, the stronger I get with Fitbit.","The harder I work, the luckier I get.",-0.45824365571520875
Fitbit Tracker,Pride,Be your Fitbit best.,The sky's the limit.,-0.5525625482644032
Fitbit Tracker,Pride,The Fitbit wearers | the unstoppable.,"The harder I work, the luckier I get.",-0.3963030957465964
Fitbit Tracker,Pride,The biggest milestones come after the hardest grind. — Fitbit Tracker.,,-0.44239827596365194
Fitbit Tracker,Pride,The glow of milestones and the agony of defeat.,The thrill of victory and the agony of defeat,-0.5606338701035634
Nespresso Machine,Joy,The best part of waking up is Nespresso in your cup.,,-0.5390785377680424
Nespresso Machine,Joy,What a Nespresso moment!,What a feeling!,-0.5788255618026554
Nespresso Machine,Joy,Let’s Nespresso!,Let’s dance!,-0.5675910452777803
Nespresso Machine,Joy,The best part of waking up is Nespresso in your cup.,The best part of waking up is Folgers in your cup.,-0.48782863194712117
Nespresso Machine,Joy,Every morning cup is worth starting your day with.,,-0.6398745436868513
Nespresso Machine,Joy,"Life is short, enjoy Nespresso.","Life is short, drink coffee.",-0.5702457815721247
Nespresso Machine,Joy,You had me at espresso.,,-0.5415689094361466
Ray-Ban Sunglasses,Anticipation,The clarity is yet to be revealed.,The best is yet to come.,-0.5704215750117974
Ray-Ban Sunglasses,Anticipation,The Ray-Ban is almost here.,The wait is almost over.,-0.5794734410401997
Ray-Ban Sunglasses,Anticipation,"The future's so bright, I gotta wear Ray-Ban.","The future's so bright, I gotta wear shades.",-0.4999591748539855
Ray-Ban Sunglasses,Anticipation,"The future's so bright, I gotta wear Ray-Ban.","The future's so bright, I gotta wear shades.",-0.5260328785714566
Ray-Ban Sunglasses,Anticipation,The vision is out there through Ray-Ban.,"The truth is out there,",-0.48821208061004173
Ray-Ban Sunglasses,Anticipation,Something brighter this way comes—Ray-Ban.,Something wicked this way comes.,-0.4253173844393925
Ray-Ban Sunglasses,Anticipation,What Ray-Ban sees ahead?,What lies ahead?,-0.5500375581364451
Ray-Ban Sunglasses,Anticipation,"Ray-Ban's here, you can feel it in the air.","Something's coming, you can feel it in the air.",-0.5041180114975474
Patagonia Jackets,Trust,Trust is the shield of adventure.,Trust is the glue of life.,-0.5751584996397971
Patagonia Jackets,Trust,Trust in the storm — Patagonia Jackets,Trust in the wind,-0.6313390038363983
Patagonia Jackets,Trust,The proof of Patagonia jackets | is in the elements they withstand.,The proof of the pudding is in the eating.,-0.6181158382915518
Patagonia Jackets,Trust,Be Patagonia-ready.,Be prepared.,-0.6731645194410002
Patagonia Jackets,Trust,"Protection from the winds, Patagonia Jackets.",Safety in numbers,-0.5581099685291814
Patagonia Jackets,Trust,Be jacketed.,Be prepared,-0.47148158251070776
Patagonia Jackets,Trust,"so need to format accordingly. 

Also, the constraints: no first-person words. 

The second option:",Shelter from the storm.,-0.5609468728630382
Patagonia Jackets,Trust,"Patagonia Built: To last, not to falter.",built to last,-0.602104446045064
Patagonia Jackets,Trust,Patagonia Jackets protect your adventure.,Clothes make the man.,-0.6341951896068924
JBL Speakers,Fear,Carpe Diem – Seize the JBL Sound.,neutralize fear of missing out OR add urgency.,-0.4840173190890656
JBL Speakers,Fear,The only thing to fear is missing JBL.,The only thing to fear is fear itself.,-0.5027338485047335
JBL Speakers,Fear,You can't miss the JBL sound.,Fear of missing out is real.,-0.4739953057443438
JBL Speakers,Fear,The only thing we have to fear is missing JBL itself.,The only thing we have to fear is fear itself.,-0.4787193871793898
JBL Speakers,Fear,"You only get one sound, make it count with JBL.",Carpe Diem.,-0.48468053662860255
JBL Speakers,Fear,He who hesitates is missing JBL's beat.,He who hesitates is lost.,-0.5483354067111887
JBL Speakers,Fear,Turn up while the beats are hot.,Strike while the iron is hot. ★,-0.5196947131474671
Brita Water Filter,Pride,Brita is your best friend.,Diamonds are a girl's best friend.,-0.5209842370540807
Brita Water Filter,Pride,The best thing since filtered water.,The best thing since sliced bread,-0.5781907834013303
Brita Water Filter,Pride,"Brita filters are the purest, for purists.",,-0.4482992531901056
Brita Water Filter,Pride,Brita is a home's best friend.,Diamonds,-0.5191168713172136
Brita Water Filter,Pride,Brita is the king of filtered water.,I'm the king of the world.,-0.5041163574148458
Brita Water Filter,Pride,Only Brita’s pure is good enough.,Only the best is good enough.,-0.5350298410264146
Brita Water Filter,Pride,Brita is the champion.,We are the champions,-0.4875939450066316
Brita Water Filter,Pride,Brita-filtered water in life are worth waiting for.,The best things in life are worth waiting for.,-0.5154189386497255
Brita Water Filter,Pride,You’re Brita’s filtered!,The best is yet to come.,-0.577123138053831
OXO Kitchen Tools,Joy,The way to your kitchen’s heart is through OXO tools.,The way to a man's heart is through his stomach.,-0.5549526354547729
OXO Kitchen Tools,Joy,"Life is a joy, and OXO invites you.","Life is a party, and I invite you.",-0.5216533189615942
OXO Kitchen Tools,Joy,The way to your heart is through OXO tools.,The way to a man's heart is through his stomach.,-0.5395948436365778
OXO Kitchen Tools,Joy,Let them eat OXO!,Let them eat cake!,-0.5804940647148564
OXO Kitchen Tools,Joy,Cooking with OXO is like love; it should be entered into with joy.,,-0.5339163055386941
OXO Kitchen Tools,Joy,"Joy is the best seasoning, OXO.",Happiness is the best seasoning.,-0.5553728442854768
OXO Kitchen Tools,Joy,A spoonful of OXO makes cooking a joy.,Happiness is a warm cookie.,-0.5581900991047591
OXO Kitchen Tools,Joy,Cooking is like love; do it with OXO.,Cooking is like love; do it with abandon.,-0.5281285167148063
OXO Kitchen Tools,Joy,Happiness is an OXO sizzle.,Happiness is a warm cookie.,-0.5311282612487102
Samsonite Luggage,Anticipation,"Wheels click, and horizons unfold.","Adventure calls, and the world answers.",-0.4999495204691096
Samsonite Luggage,Anticipation,The Samsonite journey of a lifetime lies ahead.,The best is yet to come,-0.5093273420751289
Samsonite Luggage,Anticipation,The greatest journey is yet to come with Samsonite.,The greatest adventure is yet to come.,-0.502263862328393
Samsonite Luggage,Anticipation,Adventure is packed in Samsonite.,Adventure is out there,-0.5238262860296553
Samsonite Luggage,Anticipation,"Samsonite flies, the journey awaits.",,-0.4607622908251662
Samsonite Luggage,Anticipation,Your Samsonite adventure is just beginning.,The adventure is just beginning.,-0.5561222897170098
Samsonite Luggage,Anticipation,"Samsonite calls, and you embark.","Adventure calls, and you answer.",-0.5218215258744988
Samsonite Luggage,Anticipation,"Adventure calls, | but is your Samsonite packed?","Adventure calls, but are you listening?",-0.5051876655912138
Samsonite Luggage,Anticipation,The adventure begins with a Samsonite suitcase.,The journey begins with a single step.,-0.5285469481912118
Amazon Prime,Anticipation,The wait is almost delivered.,,-0.4676656382754045
Amazon Prime,Anticipation,"Your order's coming, and it's coming Prime-fast.","Something's coming, and it's coming fast",-0.531410916586607
Amazon Prime,Anticipation,The wait is worth the Prime.,The wait is the hardest part,-0.5364981622343254
Amazon Prime,Anticipation,Amazon Prime: The future is unwritten.,The future is unwritten.,-0.553414910835942
Amazon Prime,Anticipation,The Prime is almost delivered.,The wait is almost over.,-0.4714749291766402
Amazon Prime,Anticipation,The Prime is almost here.,The wait is almost over.,-0.6568757852527023
Amazon Prime,Anticipation,The Prime is almost here.,The wait is almost over,-0.547360514244725
Netflix,Trust,There’s no place like streaming.,Home is where the heart is.,-0.4942245533917486
Netflix,Trust,Netflix is here for you.,I'll be here for you.,-0.5391608983281826
Netflix,Trust,Trust in Netflix with every stream.,,-0.5532514890691099
Netflix,Trust,You can always count on Netflix.,You can always count on me,-0.5759587209450272
Netflix,Trust,Reliability in every show.,Safety in numbers.,-0.5736508465022107
Netflix,Trust,There's no entertainment like Netflix.,There's no place like home,-0.4864504247234955
Netflix,Trust,Trust is the heart of Netflix.,Trust is the glue of life.,-0.4930081160712658
Netflix,Trust,Reliable in every stream.,There's no place like home,-0.4344986885047515
Netflix,Trust,Reliable is the bedrock of binge.,Trust is the glue of life.,-0.4980615599801976
Netflix,Trust,Netflix: Trust the stream.,Trust the process.,-0.568759997779417
Apple Music,Fear,"You can't always get every song you crave, but Apple Music delivers.",You can't always get | what you want.,-0.4965584859611218
Apple Music,Fear,The tunes must go on with Apple Music.,The show must go on.,-0.5117658915021169
Apple Music,Fear,"Life moves fast, don’t miss Apple Music.","Life moves | fast |, don’t | miss | it.",-0.5345116596663043
Apple Music,Fear,"You pause, you lose Apple Music’s beat.","You snooze, you lose",-0.5064866217618779
Apple Music,Fear,Seize the moment with Apple Music.,Seize the day.,-0.5277166063640701
Apple Music,Fear,You can always get what you want with Apple Music.,You can't always get what you want.,-0.5062638540235481
YouTube Premium,Pride,I am the VIP of YouTube Premium.,I am the king of the world,-0.5467814631719774
YouTube Premium,Pride,YouTube Premium is endless.,Diamonds are forever.,-0.564214589794806
YouTube Premium,Pride,We are the champions of YouTube Premium.,We are the champions,-0.44229357065398694
YouTube Premium,Pride,You are the YouTube Premium royalty.,We are the champions.,-0.5649358872581342
YouTube Premium,Pride,You're the YouTube Premium VIP of the world!,,-0.45362645950552516
YouTube Premium,Pride,YouTube Premium users are the champions.,We are the champions,-0.38270958443848163
YouTube Premium,Pride,Be king of premium content with YouTube Premium!,Be king of the world!,-0.49713899883063745
YouTube Premium,Pride,Premium members are the YouTube of the world!,I'm the king of the world!,-0.6079490775954446
YouTube Premium,Pride,YouTube Premium is a member’s best friend.,Diamonds are a girl's best friend.,-0.48395162386090856
Audible,Joy,The world is a library—don’t listen only to one page.,,-0.5460622792127318
Audible,Joy,Stories are in your earbuds.,Adventure is out there,-0.573492664445917
Audible,Joy,"Ah, the stories you'll explore with Audible!","Oh, the places you'll go!",-0.5318475710271109
Audible,Joy,Stories are out there on Audible!,Adventure is out there!,-0.568806223303133
Audible,Joy,Stories are a uniquely Audible magic.,The best things in life are free.,-0.5045769708306809
Audible,Joy,Stories are here on Audible!,Adventure is out there!,-0.543088291397254
Audible,Joy,Audible adventures are out there!,Adventure is out there,-0.6014406485847165
Audible,Joy,You are never fully Audible without a story.,You are never fully dressed without a smile.,-0.47570614593521904
DoorDash DashPass,Anticipation,The wait is worth DashPass.,wait is hardest part.,-0.5201510463385076
DoorDash DashPass,Anticipation,The wait is now the easiest part with DashPass.,The wait is the hardest part.,-0.5186379416893353
DoorDash DashPass,Anticipation,"Delivery speed’s coming, I can taste it.",,-0.38254190139169775
DoorDash DashPass,Anticipation,"DashPass is coming, and it’s coming fast!","Something’s coming, and it’s coming soon.",-0.5037400051498643
DoorDash DashPass,Anticipation,Something DashPass this way comes.,Something wicked this way comes,-0.5932755148745911
DoorDash DashPass,Anticipation,"DashPass is coming, and it's going to be free.","Something's coming, and it's going to be big.",-0.4359816119011412
DoorDash DashPass,Anticipation,"DashPass is coming, you can feel it in the air.","Something's coming, you can feel it in the air.",-0.4355905359652583
DoorDash DashPass,Anticipation,The DashPass is almost here!,The wait is almost over.,-0.40923749579329305
DoorDash DashPass,Anticipation,The wait is DashPass's best part.,The wait is the hardest part,-0.46172573367981945
Uber One,Trust,Your safety is Uber One's priority.,Your safety is my priority.,-0.4528799031658279
Uber One,Trust,"Your ride is your shield, Uber One.",Your castle is your shield.,-0.5981837114613308
Uber One,Trust,Trust is the Uber One that holds every ride safe.,Trust is the glue that holds the world together.,-0.48941341309474845
Uber One,Trust,Trust is the guarantee of every ride.,Trust is the currency of the new economy.,-0.6595590779517623
Uber One,Trust,Trust is the foundation of every journey with Uber One.,Trust is the glue of life.,-0.5133679542652475
Uber One,Trust,You can't go wrong with Uber One.,"Trust me, I'm a doctor",-0.3899664253220522
Marriott Bonvoy,Fear,Seize your Marriott Bonvoy rewards before they expire!,"Seize the day, for tomorrow never comes.",-0.5212657795461095
Marriott Bonvoy,Fear,"Every stay, tonight, every stay is the right Marriott Bonvoy.",The only thing we have to fear is fear itself.,-0.501446548846234
Marriott Bonvoy,Fear,What will you miss if you don’t join Bonvoy?,What will you miss if you don’t?,-0.551872168061922
Marriott Bonvoy,Fear,"If you delay, you miss your Marriott stay.","If you snooze, you lose",-0.4789345906211168
Marriott Bonvoy,Fear,"You snooze, you miss out on Bonvoy.","You snooze, you lose.",-0.5171100498275301
Marriott Bonvoy,Fear,"You wait, you miss Marriott Bonvoy.","You snooze, you lose",-0.4931859486619022
Marriott Bonvoy,Fear,Bonvoy moments lurk but once.,Time and tide wait for no man.,-0.4959017276610802
IHG One Rewards,Pride,IHG members are the champions.,We are the champions,-0.5207024772604646
IHG One Rewards,Pride,"The harder the journey, the more glorious the IHG One Rewards.","The harder the conflict, the more glorious the triumph",-0.4746317916975382
IHG One Rewards,Pride,To the member go the IHG Rewards.,To the victor go the spoils.,-0.5315148765116848
IHG One Rewards,Pride,"We are the Elite, my IHG Members.","We are the champions, my friends.",-0.5432541507442727
IHG One Rewards,Pride,You're the elite of the IHG One Rewards.,You're the top of the class.,-0.5121976145560657
IHG One Rewards,Pride,One Rewards favor the bold.,Diamonds are forever.,-0.4715709633584324
IHG One Rewards,Pride,The IHG Rewards are your destination.,The sky's the limit.,-0.5359120006018856
IHG One Rewards,Pride,IHG Rewards are yours forever.,Diamonds are forever.,-0.51621942777754
IHG One Rewards,Pride,IHG One Rewards members are the top!,You're the top!,-0.587563251407135
IHG One Rewards,Pride,The rewards are always better from the elite.,The view is always better from the top.,-0.554244638075456
Delta SkyMiles,Joy,The Delta Sky’s the limit!,The sky's the limit,-0.5176515230674434
Delta SkyMiles,Joy,Why don’t you come earn with SkyMiles?,Why don’t you come fly with me?,-0.5920559788556454
Delta SkyMiles,Joy,Adventure is within your miles!,Adventure is out there!,-0.5771242172089641
Delta SkyMiles,Joy,The Delta’s the limit.,The sky's the limit.,-0.5897317208740566
Delta SkyMiles,Joy,The Miles’ the destination.,,-0.5888516120509427
Delta SkyMiles,Joy,The SkyMiles Are Limitless!,The sky's the limit!,-0.5128772469060364
Delta SkyMiles,Joy,The flight is your SkyMiles reward.,The journey is the reward.,-0.3691663001341247
Delta SkyMiles,Joy,…,"Up, up and away!",-0.5577324385890828
Delta SkyMiles,Joy,SkyMiles: The journey is half the fun!,The journey is half the fun.,-0.529752947395029
American Airlines AAdvantage,Anticipation,The best things come to AAdvantage members.,The best things come to those who wait,-0.4601971876618828
American Airlines AAdvantage,Anticipation,To earn miles hopefully is a better AAdvantage than to arrive.,To travel hopefully is a better thing than to arrive.,-0.5222079115550633
American Airlines AAdvantage,Anticipation,"Rewards are coming, you can taste them in the air.",,-0.48078725326628624
American Airlines AAdvantage,Anticipation,"Your miles are coming, and they’re coming soon with AAdvantage.",Something's coming...,-0.5004306388451526
American Airlines AAdvantage,Anticipation,…,wander,-0.4777224866818242
American Airlines AAdvantage,Anticipation,The AAdvantage journey is yet to come.,The best is yet to come,-0.5756435031563215
Sephora Beauty Insider,Trust,Sephora Beauty Insider is the glue that holds beauty routines together.,Trust is the glue that holds relationships together.,-0.5122760739554918
Sephora Beauty Insider,Trust,Trust is the Beauty Insider that holds your journey together.,Trust is the glue that holds relationships together.,-0.555317006255109
Sephora Beauty Insider,Trust,"You’re in trusted hands, Beauty Insider.",You're in good hands,-0.6535923645829048
Sephora Beauty Insider,Trust,Rewards are a member’s best friend.,Diamonds are a girl's best friend.,-0.5660707574253314
Sephora Beauty Insider,Trust,Trust is the glue of Sephora Beauty Insider.,Trust is the glue of life. ★ Maya Angelou,-0.5304376441016991
Sephora Beauty Insider,Trust,Trust is the beauty of Sephora.,Trust is the glue of life.,-0.6074672509261739
Sephora Beauty Insider,Trust,You've got a friend in Sephora.,You can always count on me.,-0.5165520543924931
Nike Membership,Fear,"You snooze, you miss Nike Membership.","You snooze, you lose",-0.573699634010387
Nike Membership,Fear,You miss 100% of the goals you don't chase. Nike Membership.,You miss 100% of the shots you don't take.,-0.414109068413618
Nike Membership,Fear,Nike Membership is the FOMO-Fighter.,Fear is the mind-killer.,-0.48036280606496573
Nike Membership,Fear,Don’t let Nike Membership be the one that got away.,The only thing we have to fear is fear itself.,-0.48715633892125504
Nike Membership,Fear,The only thing we have to fear is missing Nike.,Hurry up before it's gone,-0.4705821550404183
Nike Membership,Fear,The Nike Members get the exclusive drops.,The early bird...,-0.41274901901231836
Nike Membership,Fear,The Nike member catches the drops.,The early bird catches the worm.,-0.49208039456361896
Nike Membership,Fear,Nike Membership is FOMO's cure.,Fear is the mind-killer.,-0.5429551952981211
Peloton All-Access,Pride,Peloton riders are legends.,I am legend,-0.4267758645144035
Peloton All-Access,Pride,You're gonna need a Peloton membership.,You're gonna need a bigger bike,-0.5181019429058225
Peloton All-Access,Pride,The thrill of Peloton All-Access and the agony of excuses.,thrill of victory,-0.4967343076389208
Peloton All-Access,Pride,The only bad Peloton class is the one you didn’t stream.,The only bad workout is the one you didn't do.,-0.47684642569359176
Peloton All-Access,Pride,The grind is temporary. Quitting lasts forever.,Pain is temporary. Quitting lasts forever.,-0.5016827573859605
Peloton All-Access,Pride,You're king of Peloton All-Access!,I'm king of the world!,-0.5178352074224378
Peloton All-Access,Pride,The only bad ride is the one that didn’t spin.,The only bad workout is the one that didn't happen.,-0.4709369346195338
Peloton All-Access,Pride,Peloton All-Access: King of the Fitness World!,I’m king of the world!,-0.5104660779757587
Peloton All-Access,Pride,"We are the Peloton All-Access members, and the world will cheer!",We are the champions,-0.4748716934977691
Fitbit Premium,Joy,Joy is the best Fitbit Premium.,Joy is the best makeup.,-0.5421531888788073
Fitbit Premium,Joy,Movement is all you need. — Fitbit Premium.,Love is all you need.,-0.4449134688002047
Fitbit Premium,Joy,"Life is a celebration, and Fitbit Premium is here!","Life is a party, and I’ve just arrived.",-0.4479922166948985
Fitbit Premium,Joy,Move with Fitbit Premium like no one’s watching.,dance,-0.6020948360867725
Fitbit Premium,Joy,Move like nobody’s watching—Fitbit Premium.,Dance like nobody’s watching,-0.5407324669548084
Fitbit Premium,Joy,Just keep moving with Fitbit Premium.,Just keep swimming,-0.584152395004962
Fitbit Premium,Joy,The healthiest moments in life are unlocked.,The best things in life are free.,-0.47418299824998433
Canva Pro,Anticipation,"Something’s coming, and it’s gonna be brilliant. Canva Pro.",The best is yet to come.,-0.42294773407307007
Canva Pro,Anticipation,The future is Pro-designed.,The future is unwritten,-0.519743847054591
Canva Pro,Anticipation,"Stay inspired, stay bold. Canva Pro.",copy the ★ quote and use | to separate editable and fixed parts.,-0.5175450494309936
Canva Pro,Anticipation,A Canva Pro canvas can become anything professional.,"Something's coming, you can feel it in the air.",-0.4918375899485669
Canva Pro,Anticipation,The best way to design your vision is to create it with Canva Pro.,The best way to predict the future is to create it.,-0.474615103438104
Canva Pro,Anticipation,Something Canva Pro is about to happen.,Something wonderful is about to happen.,-0.515041309671054
Dropbox Plus,Trust,Your Dropbox Plus is your safest space.,Your castle is your safest space.,-0.5406830979892024
Dropbox Plus,Trust,You're safe with Dropbox Plus.,You're safe with me,-0.42596963563592377
Dropbox Plus,Trust,Safety is the glue of your digital life – Dropbox Plus.,Trust is the glue of life.,-0.6041357675843395
Dropbox Plus,Trust,Better secure than stolen—Dropbox Plus guards your files.,Better safe than sorry.,-0.5328586100936616
Dropbox Plus,Trust,Dropbox Plus is the glue of your files.,Trust is the glue of life.,-0.4772419491681702
Dropbox Plus,Trust,Dropbox Plus is where your files stay safe.,★ Home is where the heart is.,-0.6079318964195486
Adobe Creative Cloud Subscription,Fear,The only thing we have to miss is missing.,The only thing we have to fear is fear itself.,-0.39332045748228006
Adobe Creative Cloud Subscription,Fear,The early creator gets the Adobe edge.,The early bird gets the worm,-0.512134727327927
Adobe Creative Cloud Subscription,Fear,Adobe Creative Cloud never returns.,Opportunity seldom knocks twice.,-0.5486004561157607
Adobe Creative Cloud Subscription,Fear,The Adobe pro catches the creative edge.,The early bird catches the worm.,-0.5124876528506463
Adobe Creative Cloud Subscription,Fear,Don’t let your creativity be the one that got away.,Don't let this be the one that got away.,-0.5198174773535446
Adobe Creative Cloud Subscription,Fear,"You hesitate, you lose Adobe Creative Cloud.","You snooze, you lose",-0.5022043921281582
Adobe Creative Cloud Subscription,Fear,He who waits is behind.,He who hesitates is lost.,-0.4481048104136574
Adobe Creative Cloud Subscription,Fear,Create while the cloud is hot.,Strike while...,-0.4732186170284428
NordVPN,Pride,The best privacy is NordVPN’s shield.,The best revenge is massive success.,-0.5743353424316391
NordVPN,Pride,NordVPN: Guardian of the digital world!,I’m king of the world!,-0.45964474874255495
NordVPN,Pride,NordVPN is the crown of all privacy.,Pride is the crown of all virtues.,-0.5224002196430454
NordVPN,Pride,NordVPN users are the champions.,We are the champions,-0.5365621668269049
NordVPN,Pride,You are the guardian of your online realm!,I am the king of the world!,-0.4764692789364615
NordVPN,Pride,NordVPN is your kingdom.,Privacy is power.,-0.5966876571097844
